"%Acm. Venda";"Código Empresa";"Empresa : Nível 4";"Venda Quantidade";"Venda Itens";"Unitário Médio";"Venda Valor";"Venda % Partic.";"Promoções Valor Venda";"Promoc. % Partic.";"% Partic. Prom./Vda.";"Lucratividade Unit.";"Lucratividade Valor";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Compror";"Comissão";"Impostos Venda";"Valor IBS  Municipal";"Valor IBS  Estadual";"Valor CBS";"Valor IS";"Contribuição Valor";"Contrib. % Partic.";"Contrib. Marg %*";"Peso Bruto";"Peso Brt %Partic.";"Peso Líquido";"Volume M ³";"Valor Venda Por M³";"Despesa Fixa";"Desconto Fixo";"Vlr Descto Fora de NF"
"0,00";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ ARMARINHO \ ACESSORIOS ARMARINHO";"885,000";"28";"3,90";"3.454,81";"0,00";"0,00";"0,00";"0,00";"1,01";"897,71";"0,00";"25,98";"86,79";"46,47";"1.849,52";"1.739,93";"0,00";"0,00";"0,00";"817,17";"0,00";"0,75";"23,36";"0,00";"897,71";"0,00";"34,03";"1,205";"0,00";"0,090";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,00";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ BOLSA BRINDE";"11,000";"2";"4,90";"53,89";"0,00";"0,00";"0,00";"0,00";"1,73";"18,99";"0,00";"35,24";"104,36";"51,07";"26,37";"19,13";"0,00";"0,00";"0,00";"15,77";"0,00";"0,00";"0,35";"0,00";"18,99";"0,00";"49,81";"0,491";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,00";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ BOLSA TERMICA";"4,000";"1";"22,90";"91,60";"0,00";"0,00";"0,00";"0,00";"3,87";"15,47";"0,00";"16,89";"62,07";"38,30";"56,52";"49,37";"0,00";"0,00";"0,00";"26,77";"0,00";"0,08";"0,60";"0,00";"15,47";"0,00";"23,86";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,01";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ SACOLA RECICLAVEL";"103.228,000";"2";"0,08";"8.258,21";"0,01";"0,00";"0,00";"0,00";"0,00";"20,24";"0,00";"0,25";"14,41";"12,59";"7.218,37";"5.630,34";"0,00";"0,00";"0,00";"2.607,62";"0,00";"0,00";"5,08";"0,00";"20,24";"0,00";"0,36";"25.579,020";"0,58";"82.582,400";"1,617";"5.107,118";"0,00";"0,00";"0,00"
"0,02";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ SACOLA RETORNAVEL";"563,000";"2";"6,99";"3.935,37";"0,01";"0,00";"0,00";"0,00";"2,47";"1.388,95";"0,01";"35,29";"99,98";"49,99";"1.967,92";"1.395,60";"0,00";"0,00";"0,00";"1.150,82";"0,00";"0,05";"22,56";"0,00";"1.388,95";"0,01";"49,88";"36,530";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,02";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CALCADOS \ ACESSORIOS PARA CALCADOS";"2,000";"1";"5,59";"11,18";"0,00";"0,00";"0,00";"0,00";"1,48";"2,96";"0,00";"26,48";"59,71";"37,39";"7,00";"4,96";"0,00";"0,00";"0,00";"3,27";"0,00";"0,00";"0,08";"0,00";"2,96";"0,00";"37,40";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,02";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CALCADOS \ GRAXAS";"15,000";"4";"18,32";"274,85";"0,00";"0,00";"0,00";"0,00";"4,17";"62,61";"0,00";"22,78";"66,39";"39,90";"165,18";"131,91";"0,00";"0,00";"0,00";"80,33";"0,00";"0,15";"1,70";"0,00";"62,61";"0,00";"32,19";"0,980";"0,00";"0,540";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,03";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CALCADOS \ SANDALIAS";"218,000";"24";"16,87";"3.678,71";"0,01";"2.102,76";"0,00";"57,16";"3,74";"815,60";"0,00";"22,17";"64,31";"39,14";"2.238,88";"1.787,96";"0,00";"0,00";"0,00";"1.075,16";"0,00";"2,68";"23,06";"0,00";"815,60";"0,00";"31,33";"66,227";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,03";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ ACESSORIOS CHURRASCO";"115,000";"5";"9,33";"1.073,35";"0,00";"0,00";"0,00";"0,00";"3,43";"394,82";"0,00";"36,78";"119,22";"54,38";"489,62";"406,53";"0,00";"0,00";"0,00";"272,00";"0,00";"0,42";"7,00";"0,00";"394,82";"0,00";"49,27";"18,110";"0,00";"16,800";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,05";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ CARVAO";"418,000";"2";"25,05";"10.472,97";"0,02";"0,00";"0,00";"0,00";"7,68";"3.208,23";"0,02";"30,63";"94,31";"48,54";"5.389,74";"4.203,99";"0,00";"0,00";"0,00";"3.060,76";"0,01";"5,96";"67,63";"0,00";"3.208,23";"0,02";"43,28";"1.597,588";"0,04";"805,000";"2,898";"3.613,861";"0,00";"0,00";"0,00"
"0,05";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ ESPETO";"4,000";"1";"7,99";"31,96";"0,00";"0,00";"0,00";"0,00";"2,22";"8,86";"0,00";"27,72";"64,49";"39,21";"19,43";"13,75";"0,00";"0,00";"0,00";"9,35";"0,00";"0,04";"0,20";"0,00";"8,86";"0,00";"39,18";"0,348";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,05";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ GRELHA";"6,000";"1";"55,93";"335,55";"0,00";"0,00";"0,00";"0,00";"16,83";"100,97";"0,00";"30,09";"73,95";"42,51";"192,90";"136,54";"0,00";"0,00";"0,00";"98,04";"0,00";"0,24";"2,14";"0,00";"100,97";"0,00";"42,51";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,05";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ PALITOS";"54,000";"1";"10,75";"580,58";"0,00";"0,00";"0,00";"0,00";"3,89";"209,92";"0,00";"36,16";"104,52";"51,11";"283,87";"200,94";"0,00";"0,00";"0,00";"169,72";"0,00";"0,54";"3,72";"0,00";"209,92";"0,00";"51,09";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,05";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ TABUA";"8,000";"2";"22,87";"182,92";"0,00";"0,00";"0,00";"0,00";"8,03";"64,20";"0,00";"35,10";"69,06";"40,85";"108,20";"93,22";"0,00";"0,00";"0,00";"25,51";"0,00";"0,17";"1,39";"0,00";"64,20";"0,00";"40,78";"0,000";"0,00";"1,498";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,06";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ DESCARTAVEIS \ ALUMINIO";"569,000";"15";"6,63";"3.771,41";"0,01";"0,00";"0,00";"0,00";"2,28";"1.295,58";"0,01";"34,35";"103,20";"50,79";"1.855,99";"1.373,17";"0,00";"0,00";"0,00";"1.102,66";"0,00";"1,22";"24,31";"0,00";"1.295,58";"0,01";"48,55";"33,110";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,06";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ DESCARTAVEIS \ CANUDOS";"2,000";"1";"3,29";"6,58";"0,00";"0,00";"0,00";"0,00";"0,98";"1,96";"0,00";"29,79";"75,00";"42,86";"3,76";"2,68";"0,00";"0,00";"0,00";"1,93";"0,00";"0,00";"0,04";"0,00";"1,96";"0,00";"42,18";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
