"%Acm. Venda";"Código Empresa";"Empresa : Nível 4";"Venda Quantidade";"Venda Itens";"Unitário Médio";"Venda Valor";"Venda % Partic.";"Promoções Valor Venda";"Promoc. % Partic.";"% Partic. Prom./Vda.";"Lucratividade Unit.";"Lucratividade Valor";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Compror";"Comissão";"Impostos Venda";"Valor IBS  Municipal";"Valor IBS  Estadual";"Valor CBS";"Valor IS";"Contribuição Valor";"Contrib. % Partic.";"Contrib. Marg %*";"Peso Bruto";"Peso Brt %Partic.";"Peso Líquido";"Volume M ³";"Valor Venda Por M³";"Despesa Fixa";"Desconto Fixo";"Vlr Descto Fora de NF"
"0,00";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ ARMARINHO \ ACESSORIOS ARMARINHO";"799,000";"31";"4,02";"3.211,11";"0,00";"0,00";"0,00";"0,00";"1,00";"795,85";"0,00";"24,78";"86,08";"46,26";"1.725,62";"1.615,88";"0,00";"0,00";"0,00";"799,38";"0,00";"0,24";"8,33";"0,00";"795,85";"0,00";"33,00";"0,736";"0,00";"0,090";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,00";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ BOLSA BRINDE";"38,000";"2";"4,67";"177,62";"0,00";"0,00";"0,00";"0,00";"1,46";"55,50";"0,00";"31,25";"83,72";"45,57";"96,68";"70,15";"0,00";"0,00";"0,00";"51,97";"0,00";"0,00";"0,67";"0,00";"55,50";"0,00";"44,17";"1,684";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,00";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ BOLSA TERMICA";"3,000";"1";"22,90";"68,70";"0,00";"0,00";"0,00";"0,00";"3,87";"11,60";"0,00";"16,89";"62,07";"38,30";"42,39";"37,02";"0,00";"0,00";"0,00";"20,08";"0,00";"0,00";"0,00";"0,00";"11,60";"0,00";"23,86";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,01";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ SACOLA RECICLAVEL";"109.072,000";"2";"0,08";"8.725,72";"0,01";"0,00";"0,00";"0,00";"0,00";"-59,03";"0,00";"-0,68";"12,80";"11,35";"7.735,28";"6.033,48";"0,00";"0,00";"0,00";"2.751,28";"0,00";"0,00";"2,55";"0,00";"-59,03";"0,00";"-0,99";"33.805,510";"0,73";"87.257,600";"1,708";"5.108,735";"0,00";"0,00";"0,00"
"0,01";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ SACOLA RETORNAVEL";"489,000";"1";"6,99";"3.418,11";"0,00";"0,00";"0,00";"0,00";"2,47";"1.207,04";"0,01";"35,31";"107,92";"51,90";"1.643,96";"1.211,49";"0,00";"0,00";"0,00";"999,58";"0,00";"0,01";"9,93";"0,00";"1.207,04";"0,01";"49,91";"31,785";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,01";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CALCADOS \ ACESSORIOS PARA CALCADOS";"2,000";"1";"5,59";"11,18";"0,00";"0,00";"0,00";"0,00";"1,48";"2,96";"0,00";"26,48";"59,71";"37,39";"7,00";"4,96";"0,00";"0,00";"0,00";"3,27";"0,00";"0,00";"0,04";"0,00";"2,96";"0,00";"37,40";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,01";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CALCADOS \ GRAXAS";"9,000";"3";"18,77";"168,91";"0,00";"0,00";"0,00";"0,00";"3,80";"34,21";"0,00";"20,25";"58,07";"36,74";"106,86";"85,34";"0,00";"0,00";"0,00";"49,37";"0,00";"0,05";"0,58";"0,00";"34,21";"0,00";"28,62";"0,688";"0,00";"0,324";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,02";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CALCADOS \ SANDALIAS";"247,000";"24";"17,03";"4.206,41";"0,01";"1.278,84";"0,00";"30,40";"3,89";"961,61";"0,01";"22,86";"66,70";"40,01";"2.523,28";"2.015,08";"0,00";"0,00";"0,00";"1.229,72";"0,00";"1,20";"10,50";"0,00";"961,61";"0,01";"32,30";"74,205";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,02";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ ACESSORIOS CHURRASCO";"88,000";"6";"8,94";"786,85";"0,00";"0,00";"0,00";"0,00";"3,03";"266,41";"0,00";"33,86";"104,89";"51,19";"384,03";"317,26";"0,00";"0,00";"0,00";"203,17";"0,00";"0,18";"2,59";"0,00";"266,41";"0,00";"45,64";"13,186";"0,00";"12,240";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,03";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ CARVAO";"352,000";"2";"25,41";"8.943,92";"0,01";"0,00";"0,00";"0,00";"7,74";"2.725,16";"0,01";"30,47";"93,52";"48,33";"4.621,67";"3.604,89";"0,00";"0,00";"0,00";"2.613,87";"0,00";"1,86";"21,45";"0,00";"2.725,16";"0,01";"43,05";"1.361,472";"0,03";"720,000";"2,592";"3.450,586";"0,00";"0,00";"0,00"
"0,03";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ ESPETO";"11,000";"1";"7,99";"87,89";"0,00";"0,00";"0,00";"0,00";"2,22";"24,37";"0,00";"27,73";"64,50";"39,21";"53,43";"37,82";"0,00";"0,00";"0,00";"25,70";"0,00";"0,00";"0,00";"0,00";"24,37";"0,00";"39,19";"0,957";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,03";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ GRELHA";"3,000";"1";"54,99";"164,97";"0,00";"0,00";"0,00";"0,00";"16,17";"48,50";"0,00";"29,40";"71,04";"41,53";"96,45";"68,27";"0,00";"0,00";"0,00";"48,20";"0,00";"0,08";"0,70";"0,00";"48,50";"0,00";"41,54";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,03";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ PALITOS";"30,000";"1";"9,02";"270,62";"0,00";"0,00";"0,00";"0,00";"2,66";"79,87";"0,00";"29,51";"71,59";"41,72";"157,71";"111,63";"0,00";"0,00";"0,00";"79,12";"0,00";"0,12";"0,72";"0,00";"79,87";"0,00";"41,71";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,03";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ TABUA";"4,000";"2";"37,24";"148,96";"0,00";"0,00";"0,00";"0,00";"11,44";"45,75";"0,00";"30,71";"72,01";"41,86";"86,60";"63,67";"0,00";"0,00";"0,00";"39,53";"0,00";"0,05";"0,43";"0,00";"45,75";"0,00";"41,81";"0,000";"0,00";"0,214";"0,000";"0,000";"0,00";"0,00";"0,00"
