"%Acm. Venda";"Código Empresa";"Empresa : Nível 4";"Venda Quantidade";"Venda Itens";"Unitário Médio";"Venda Valor";"Venda % Partic.";"Promoções Valor Venda";"Promoc. % Partic.";"% Partic. Prom./Vda.";"Lucratividade Unit.";"Lucratividade Valor";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Compror";"Comissão";"Impostos Venda";"Valor IBS  Municipal";"Valor IBS  Estadual";"Valor CBS";"Valor IS";"Contribuição Valor";"Contrib. % Partic.";"Contrib. Marg %*";"Peso Bruto";"Peso Brt %Partic.";"Peso Líquido";"Volume M ³";"Valor Venda Por M³";"Despesa Fixa";"Desconto Fixo";"Vlr Descto Fora de NF"
"0,00";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ ARMARINHO \ ACESSORIOS ARMARINHO";"651,000";"27";"4,19";"2.727,78";"0,00";"0,00";"0,00";"0,00";"1,09";"710,12";"0,00";"26,03";"85,56";"46,11";"1.470,04";"1.355,07";"0,00";"0,00";"0,00";"662,59";"0,00";"0,67";"18,43";"0,00";"710,12";"0,00";"34,39";"1,060";"0,00";"0,120";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,00";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ BOLSA BRINDE";"15,000";"2";"5,26";"78,85";"0,00";"0,00";"0,00";"0,00";"1,99";"29,90";"0,00";"37,92";"121,05";"54,76";"35,67";"25,88";"0,00";"0,00";"0,00";"23,07";"0,00";"0,00";"0,47";"0,00";"29,90";"0,00";"53,60";"0,671";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,00";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ BOLSA TERMICA";"2,000";"1";"22,90";"45,80";"0,00";"0,00";"0,00";"0,00";"3,87";"7,73";"0,00";"16,88";"62,07";"38,30";"28,26";"24,68";"0,00";"0,00";"0,00";"13,38";"0,00";"0,04";"0,30";"0,00";"7,73";"0,00";"23,85";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,01";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ SACOLA RECICLAVEL";"109.764,000";"2";"0,08";"8.781,12";"0,01";"0,00";"0,00";"0,00";"0,00";"-238,54";"0,00";"-2,72";"9,66";"8,81";"8.007,33";"6.245,68";"0,00";"0,00";"0,00";"2.773,98";"0,00";"0,00";"5,58";"0,00";"-238,54";"0,00";"-3,97";"14.825,990";"0,32";"87.811,200";"1,719";"5.108,272";"0,00";"0,00";"0,00"
"0,01";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ SACOLA RETORNAVEL";"531,000";"1";"6,99";"3.711,69";"0,00";"0,00";"0,00";"0,00";"2,47";"1.310,72";"0,01";"35,31";"99,76";"49,94";"1.858,09";"1.315,54";"0,00";"0,00";"0,00";"1.085,43";"0,00";"0,00";"21,24";"0,00";"1.310,72";"0,01";"49,91";"34,515";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,01";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CALCADOS \ ACESSORIOS PARA CALCADOS";"2,000";"1";"5,59";"11,18";"0,00";"0,00";"0,00";"0,00";"1,48";"2,96";"0,00";"26,48";"59,71";"37,39";"7,00";"4,96";"0,00";"0,00";"0,00";"3,27";"0,00";"0,00";"0,08";"0,00";"2,96";"0,00";"37,40";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,01";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CALCADOS \ GRAXAS";"26,000";"4";"18,45";"479,74";"0,00";"0,00";"0,00";"0,00";"4,06";"105,51";"0,00";"21,99";"63,71";"38,92";"293,04";"234,02";"0,00";"0,00";"0,00";"140,21";"0,00";"0,26";"2,98";"0,00";"105,51";"0,00";"31,08";"1,782";"0,00";"0,936";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,01";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CALCADOS \ SANDALIAS";"179,000";"23";"16,92";"3.028,67";"0,00";"528,34";"0,00";"17,44";"3,65";"653,00";"0,00";"21,56";"62,09";"38,31";"1.868,51";"1.490,34";"0,00";"0,00";"0,00";"885,33";"0,00";"2,25";"19,03";"0,00";"653,00";"0,00";"30,47";"53,780";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,01";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ ACESSORIOS CHURRASCO";"80,000";"5";"10,46";"837,11";"0,00";"0,00";"0,00";"0,00";"3,67";"293,41";"0,00";"35,05";"111,70";"52,76";"395,42";"330,27";"0,00";"0,00";"0,00";"213,43";"0,00";"0,56";"5,52";"0,00";"293,41";"0,00";"47,05";"15,190";"0,00";"14,100";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,02";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ CARVAO";"271,000";"2";"24,49";"6.638,13";"0,01";"0,00";"0,00";"0,00";"7,54";"2.042,96";"0,01";"30,78";"95,01";"48,72";"3.404,01";"2.655,12";"0,00";"0,00";"0,00";"1.940,05";"0,00";"3,79";"42,74";"0,00";"2.042,96";"0,01";"43,48";"1.010,120";"0,02";"455,000";"1,638";"4.052,582";"0,00";"0,00";"0,00"
"0,02";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ ESPETO";"24,000";"1";"7,99";"191,76";"0,00";"0,00";"0,00";"0,00";"2,22";"53,17";"0,00";"27,73";"64,50";"39,21";"116,57";"82,52";"0,00";"0,00";"0,00";"56,07";"0,00";"0,24";"1,20";"0,00";"53,17";"0,00";"39,19";"2,088";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,02";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ GRELHA";"1,000";"1";"54,99";"54,99";"0,00";"0,00";"0,00";"0,00";"16,17";"16,17";"0,00";"29,41";"71,04";"41,53";"32,15";"22,76";"0,00";"0,00";"0,00";"16,07";"0,00";"0,04";"0,35";"0,00";"16,17";"0,00";"41,54";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,02";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ PALITOS";"7,000";"1";"10,99";"76,93";"0,00";"0,00";"0,00";"0,00";"3,70";"25,91";"0,00";"33,68";"90,85";"47,60";"40,31";"28,53";"0,00";"0,00";"0,00";"22,49";"0,00";"0,07";"0,49";"0,00";"25,91";"0,00";"47,59";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,02";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ TABUA";"3,000";"2";"35,32";"105,97";"0,00";"0,00";"0,00";"0,00";"10,98";"32,95";"0,00";"31,09";"71,75";"41,78";"61,70";"46,05";"0,00";"0,00";"0,00";"26,97";"0,00";"0,08";"0,70";"0,00";"32,95";"0,00";"41,71";"0,000";"0,00";"0,214";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,03";"1";"01 - AMERICAS : MERCEARIA NAO ALIMENTOS \ BAZAR \ DESCARTAVEIS \ ALUMINIO";"676,000";"16";"6,85";"4.632,91";"0,01";"0,00";"0,00";"0,00";"2,27";"1.531,39";"0,01";"33,05";"95,97";"48,97";"2.364,04";"1.747,01";"0,00";"0,00";"0,00";"1.354,51";"0,00";"1,67";"30,07";"0,00";"1.531,39";"0,01";"46,71";"36,369";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
