"%Acm. Dif.Vlr.";"Nível 4";"Qtd Entrada Compra";"Qtd Entrada Outras";"Qtd Saída Venda";"Qtd Saída Outras";"Qtd Diferenca";"% Dif.s/ Qtd Saída";"%Partic. Tot.Dif.";"Vlr Entrada Compra";"Vlr Entrada Compra(Liquido)";"Vlr Entrada Outras";"Vlr Saída Venda";"Vlr Saída Outras";"Vlr Diferenca";"% Vlr.s/ Vlr Saída";"%Partic. Tot.Dif.";"Valor Custo Bruto";"Valor Custo Líquido";"Vlr. Entrada Verba Sell In";"Vlr. Saída Verba Sell In";"Valor IBS MUN Créd. Entrada";"Valor IBS UF Créd. Entrada";"Valor CBS Créd. Entrada";"Valor IS Créd. Entrada"
"-13,02";"MERCEARIA NAO ALIMENTOS \ BAZAR \ ARMARINHO \ ACESSORIOS ARMARINHO";"0,000";"6,000";"0,000";"9,000";"-3,000";"-33,3";"0,00";"0,00";"0,00";"19,44";"0,00";"32,46";"-13,02";"-40,1";"0,00";"-13,02";"-9,83";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-81,11";"MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ BOLSA TERMICA";"0,000";"1,000";"0,000";"15,000";"-14,000";"-93,3";"0,00";"0,00";"0,00";"4,63";"0,00";"72,72";"-68,09";"-93,6";"0,00";"-68,09";"-53,10";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-16010,85";"MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ SACOLA RECICLAVEL";"0,000";"103.286,000";"0,000";"282.211,000";"-178.925,000";"-63,4";"45,19";"0,00";"0,00";"9.816,60";"0,00";"25.746,34";"-15.929,74";"-61,9";"0,64";"-15.929,25";"-12.280,82";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-15985,87";"MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ SACOLA RETORNAVEL";"0,000";"14,000";"0,000";"7,000";"7,000";"100,0";"0,00";"0,00";"0,00";"50,39";"0,00";"25,41";"24,98";"98,3";"0,00";"24,98";"20,46";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-15987,24";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CALCADOS \ GRAXAS";"0,000";"1,000";"0,000";"1,000";"0,000";"0,0";"0,00";"0,00";"0,00";"11,25";"0,00";"12,62";"-1,37";"-10,9";"0,00";"-1,37";"-1,22";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-16343,97";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CALCADOS \ SANDALIAS";"0,000";"21,000";"0,000";"37,000";"-16,000";"-43,2";"0,00";"0,00";"0,00";"205,96";"0,00";"562,69";"-356,73";"-63,4";"0,01";"-356,73";"-283,65";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-16346,79";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ ACESSORIOS CHURRASCO";"0,000";"0,000";"0,000";"1,000";"-1,000";"-100,0";"0,00";"0,00";"0,00";"0,00";"0,00";"2,82";"-2,82";"-100,0";"0,00";"-2,82";"-1,94";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-16397,58";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ CARVAO";"0,000";"2,000";"0,000";"6,000";"-4,000";"-66,7";"0,00";"0,00";"0,00";"21,21";"0,00";"72,00";"-50,79";"-70,5";"0,00";"-50,79";"-34,42";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-16407,30";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ ESPETO";"0,000";"0,000";"0,000";"2,000";"-2,000";"-100,0";"0,00";"0,00";"0,00";"0,00";"0,00";"9,72";"-9,72";"-100,0";"0,00";"-9,72";"-6,68";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-16412,78";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ PALITOS";"0,000";"0,000";"0,000";"1,000";"-1,000";"-100,0";"0,00";"0,00";"0,00";"0,00";"0,00";"5,48";"-5,48";"-100,0";"0,00";"-5,48";"-3,77";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
