"%Acm. Venda";"Nível 4";"Venda Quantidade";"Venda Itens";"Unitário Médio";"Venda Valor";"Venda % Partic.";"Promoções Valor Venda";"Promoc. % Partic.";"% Partic. Prom./Vda.";"Lucratividade Unit.";"Lucratividade Valor";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Compror";"Comissão";"Impostos Venda";"Valor IBS  Municipal";"Valor IBS  Estadual";"Valor CBS";"Valor IS";"Contribuição Valor";"Contrib. % Partic.";"Contrib. Marg %*";"Peso Bruto";"Peso Brt %Partic.";"Peso Líquido";"Volume M ³";"Valor Venda Por M³";"Despesa Fixa";"Desconto Fixo";"Vlr Descto Fora de NF"
"0,02";"MERCEARIA NAO ALIMENTOS \ BAZAR \ ARMARINHO \ ACESSORIOS ARMARINHO";"3.518,000";"34";"4,75";"16.696,19";"0,02";"979,55";"0,00";"5,87";"1,24";"4.356,59";"0,02";"26,09";"65,78";"39,68";"10.071,43";"8.221,27";"0,00";"0,00";"0,00";"4.118,34";"0,00";"6,36";"107,35";"0,00";"4.356,59";"0,02";"34,64";"11,663";"0,00";"1,275";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,02";"MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ BOLSA BRINDE";"331,000";"2";"6,16";"2.037,69";"0,00";"0,00";"0,00";"0,00";"2,28";"754,07";"0,00";"37,01";"113,62";"53,19";"953,87";"687,65";"0,00";"0,00";"0,00";"595,97";"0,00";"0,00";"10,33";"0,00";"754,07";"0,00";"52,30";"14,509";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,03";"MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ BOLSA TERMICA";"543,000";"5";"11,02";"5.982,70";"0,01";"0,00";"0,00";"0,00";"3,11";"1.687,18";"0,01";"28,20";"83,23";"45,42";"3.265,09";"2.546,70";"0,00";"0,00";"0,00";"1.748,82";"0,00";"4,43";"32,27";"0,00";"1.687,18";"0,01";"39,85";"40,725";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,20";"MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ SACOLA RECICLAVEL";"1.570.814,000";"2";"0,12";"181.700,50";"0,17";"0,00";"0,00";"0,00";"0,01";"19.881,90";"0,07";"10,94";"25,90";"20,57";"144.322,11";"111.418,27";"0,00";"0,00";"0,00";"50.400,33";"0,00";"0,08";"65,84";"0,00";"19.881,90";"0,07";"15,14";"406.081,815";"8,15";"1.256.651,200";"24,599";"7.386,499";"0,00";"0,00";"0,00"
"0,27";"MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ SACOLA RETORNAVEL";"10.895,000";"4";"6,99";"76.113,06";"0,07";"0,00";"0,00";"0,00";"2,47";"26.904,57";"0,09";"35,35";"114,84";"53,45";"35.427,66";"26.951,79";"0,00";"0,00";"0,00";"22.256,69";"0,00";"0,18";"388,02";"0,00";"26.904,57";"0,09";"49,96";"705,185";"0,01";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,27";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CALCADOS \ ACESSORIOS PARA CALCADOS";"53,000";"1";"5,59";"296,27";"0,00";"0,00";"0,00";"0,00";"1,40";"74,30";"0,00";"25,08";"54,53";"35,29";"191,72";"135,41";"0,00";"0,00";"0,00";"86,56";"0,00";"0,00";"1,96";"0,00";"74,30";"0,00";"35,43";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,28";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CALCADOS \ GRAXAS";"302,000";"4";"18,53";"5.595,68";"0,01";"0,00";"0,00";"0,00";"3,82";"1.154,67";"0,00";"20,64";"58,78";"37,02";"3.524,15";"2.805,94";"0,00";"0,00";"0,00";"1.635,07";"0,00";"2,71";"31,21";"0,00";"1.154,67";"0,00";"29,15";"21,039";"0,00";"10,872";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,33";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CALCADOS \ SANDALIAS";"2.029,000";"41";"24,72";"50.161,39";"0,05";"3.658,54";"0,00";"7,29";"6,56";"13.313,32";"0,05";"26,54";"77,96";"43,81";"28.186,62";"22.188,30";"0,00";"0,00";"0,00";"14.659,76";"0,00";"32,08";"308,96";"0,00";"13.313,32";"0,05";"37,50";"515,032";"0,01";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,34";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ ACESSORIOS CHURRASCO";"1.412,000";"6";"10,59";"14.946,15";"0,01";"0,00";"0,00";"0,00";"3,68";"5.194,34";"0,02";"34,75";"105,81";"51,41";"7.261,97";"6.051,00";"0,00";"0,00";"0,00";"3.700,80";"0,00";"7,92";"90,55";"0,00";"5.194,34";"0,02";"46,19";"314,589";"0,01";"291,960";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,44";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ CARVAO";"4.477,000";"3";"24,86";"111.297,58";"0,10";"4.615,38";"0,00";"4,15";"7,01";"31.363,64";"0,11";"28,18";"83,12";"45,39";"60.778,19";"47.406,67";"0,00";"0,00";"0,00";"32.527,27";"0,00";"61,20";"691,13";"0,00";"31.363,64";"0,11";"39,82";"16.207,548";"0,33";"8.698,000";"31,563";"3.526,204";"0,00";"0,00";"0,00"
"0,44";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ ESPETO";"473,000";"1";"8,36";"3.952,47";"0,00";"0,00";"0,00";"0,00";"2,49";"1.179,01";"0,00";"29,83";"71,78";"41,79";"2.300,93";"1.617,15";"0,00";"0,00";"0,00";"1.156,32";"0,00";"4,46";"22,42";"0,00";"1.179,01";"0,00";"42,17";"41,151";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,44";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ GRELHA";"28,000";"2";"55,03";"1.540,94";"0,00";"0,00";"0,00";"0,00";"16,34";"457,40";"0,00";"29,68";"72,23";"41,94";"894,68";"633,31";"0,00";"0,00";"0,00";"450,23";"0,00";"1,04";"9,11";"0,00";"457,40";"0,00";"41,94";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,44";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ PALITOS";"200,000";"1";"10,99";"2.198,10";"0,00";"0,00";"0,00";"0,00";"3,83";"766,51";"0,00";"34,87";"95,75";"48,91";"1.122,93";"789,04";"0,00";"0,00";"0,00";"642,55";"0,00";"1,91";"13,42";"0,00";"766,51";"0,00";"49,28";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
