"%Acm. Dif.Vlr.";"Nível 4";"Qtd Entrada Compra";"Qtd Entrada Outras";"Qtd Saída Venda";"Qtd Saída Outras";"Qtd Diferenca";"% Dif.s/ Qtd Saída";"%Partic. Tot.Dif.";"Vlr Entrada Compra";"Vlr Entrada Compra(Liquido)";"Vlr Entrada Outras";"Vlr Saída Venda";"Vlr Saída Outras";"Vlr Diferenca";"% Vlr.s/ Vlr Saída";"%Partic. Tot.Dif.";"Valor Custo Bruto";"Valor Custo Líquido";"Vlr. Entrada Verba Sell In";"Vlr. Saída Verba Sell In";"Valor IBS MUN Créd. Entrada";"Valor IBS UF Créd. Entrada";"Valor CBS Créd. Entrada";"Valor IS Créd. Entrada"
"-76,27";"MERCEARIA NAO ALIMENTOS \ BAZAR \ ARMARINHO \ ACESSORIOS ARMARINHO";"0,000";"13,000";"0,000";"29,000";"-16,000";"-55,2";"0,01";"0,00";"0,00";"45,06";"0,00";"121,33";"-76,27";"-62,9";"0,00";"-76,27";"-64,57";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-89,33";"MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ BOLSA BRINDE";"0,000";"0,000";"0,000";"5,000";"-5,000";"-100,0";"0,00";"0,00";"0,00";"0,00";"0,00";"13,06";"-13,06";"-100,0";"0,00";"-13,06";"-9,48";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-126,37";"MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ BOLSA TERMICA";"0,000";"15,000";"0,000";"23,000";"-8,000";"-34,8";"0,00";"0,00";"0,00";"69,45";"0,00";"106,49";"-37,04";"-34,8";"0,00";"-37,04";"-28,90";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-13761,97";"MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ SACOLA RECICLAVEL";"0,000";"172.211,000";"0,000";"315.996,000";"-143.785,000";"-45,5";"49,92";"0,00";"0,00";"16.126,08";"0,00";"29.761,68";"-13.635,60";"-45,8";"0,86";"-13.659,21";"-10.466,80";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-13771,84";"MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ SACOLA RETORNAVEL";"0,000";"3,000";"0,000";"5,000";"-2,000";"-40,0";"0,00";"0,00";"0,00";"3,50";"0,00";"13,37";"-9,87";"-73,8";"0,00";"-9,87";"-7,43";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-13775,34";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CALCADOS \ ACESSORIOS PARA CALCADOS";"0,000";"0,000";"0,000";"1,000";"-1,000";"-100,0";"0,00";"0,00";"0,00";"0,00";"0,00";"3,50";"-3,50";"-100,0";"0,00";"-3,50";"-2,48";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-13858,48";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CALCADOS \ GRAXAS";"0,000";"0,000";"0,000";"7,000";"-7,000";"-100,0";"0,00";"0,00";"0,00";"0,00";"0,00";"83,14";"-83,14";"-100,0";"0,01";"-83,14";"-66,39";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-13851,31";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CALCADOS \ SANDALIAS";"0,000";"1,000";"0,000";"0,000";"1,000";"";"0,00";"0,00";"0,00";"7,17";"0,00";"0,00";"7,17";"";"0,00";"6,58";"5,13";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-13969,76";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ CARVAO";"0,000";"0,000";"0,000";"11,000";"-11,000";"-100,0";"0,00";"0,00";"0,00";"0,00";"0,00";"118,45";"-118,45";"-100,0";"0,01";"-118,45";"-92,39";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-14336,01";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ ESPETO";"0,000";"25,000";"0,000";"98,000";"-73,000";"-74,5";"0,03";"0,00";"0,00";"117,03";"0,00";"483,28";"-366,25";"-75,8";"0,02";"-366,25";"-258,98";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-14358,40";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ PALITOS";"0,000";"0,000";"0,000";"4,000";"-4,000";"-100,0";"0,00";"0,00";"0,00";"0,00";"0,00";"22,39";"-22,39";"-100,0";"0,00";"-22,39";"-15,85";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-14370,30";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ TABUA";"0,000";"0,000";"0,000";"1,000";"-1,000";"-100,0";"0,00";"0,00";"0,00";"0,00";"0,00";"11,90";"-11,90";"-100,0";"0,00";"-11,90";"-10,80";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-14004,99";"MERCEARIA NAO ALIMENTOS \ BAZAR \ DESCARTAVEIS \ ALUMINIO";"0,000";"140,000";"0,000";"25,000";"115,000";"460,0";"-0,04";"0,00";"0,00";"491,76";"0,00";"126,45";"365,31";"288,9";"-0,02";"365,38";"286,87";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-14006,87";"MERCEARIA NAO ALIMENTOS \ BAZAR \ DESCARTAVEIS \ CANUDOS";"0,000";"2,000";"0,000";"3,000";"-1,000";"-33,3";"0,00";"0,00";"0,00";"3,76";"0,00";"5,64";"-1,88";"-33,3";"0,00";"-1,88";"-1,35";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-14410,94";"MERCEARIA NAO ALIMENTOS \ BAZAR \ DESCARTAVEIS \ COPOS-TULIPAS";"0,000";"0,000";"0,000";"87,000";"-87,000";"-100,0";"0,03";"0,00";"0,00";"0,00";"0,00";"404,07";"-404,07";"-100,0";"0,03";"-404,07";"-366,78";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-14056,72";"MERCEARIA NAO ALIMENTOS \ BAZAR \ DESCARTAVEIS \ FILMES PLASTICOS";"0,000";"95,000";"0,000";"2,000";"93,000";"4.650,0";"-0,03";"0,00";"0,00";"365,34";"0,00";"11,12";"354,22";"3.185,5";"-0,02";"354,22";"281,53";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-15316,32";"MERCEARIA NAO ALIMENTOS \ BAZAR \ DESCARTAVEIS \ FILTROS";"0,000";"133,000";"0,000";"476,000";"-343,000";"-72,1";"0,12";"0,00";"0,00";"347,04";"0,00";"1.606,64";"-1.259,60";"-78,4";"0,08";"-1.259,60";"-1.143,49";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-15365,94";"MERCEARIA NAO ALIMENTOS \ BAZAR \ DESCARTAVEIS \ FOSFOROS";"0,000";"0,000";"0,000";"16,000";"-16,000";"-100,0";"0,01";"0,00";"0,00";"0,00";"0,00";"49,62";"-49,62";"-100,0";"0,00";"-49,62";"-39,63";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-15478,63";"MERCEARIA NAO ALIMENTOS \ BAZAR \ DESCARTAVEIS \ GUARDANAPOS";"0,000";"5,000";"0,000";"43,000";"-38,000";"-88,4";"0,01";"0,00";"0,00";"6,51";"0,00";"119,20";"-112,69";"-94,5";"0,01";"-112,69";"-108,03";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-15498,77";"MERCEARIA NAO ALIMENTOS \ BAZAR \ DESCARTAVEIS \ PALITOS";"0,000";"0,000";"0,000";"37,000";"-37,000";"-100,0";"0,01";"0,00";"0,00";"0,00";"0,00";"20,14";"-20,14";"-100,0";"0,00";"-20,14";"-15,92";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-15498,23";"MERCEARIA NAO ALIMENTOS \ BAZAR \ DESCARTAVEIS \ PAPEL MANTEIGA";"0,000";"1,000";"0,000";"1,000";"0,000";"0,0";"0,00";"0,00";"0,00";"3,51";"0,00";"2,97";"0,54";"18,2";"0,00";"0,54";"0,11";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-15360,01";"MERCEARIA NAO ALIMENTOS \ BAZAR \ DESCARTAVEIS \ PRATOS";"0,000";"61,000";"0,000";"1,000";"60,000";"6.000,0";"-0,02";"0,00";"0,00";"142,24";"0,00";"4,02";"138,22";"3.442,0";"-0,01";"138,22";"126,16";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-15371,67";"MERCEARIA NAO ALIMENTOS \ BAZAR \ DESCARTAVEIS \ SACOS";"0,000";"6,000";"0,000";"5,000";"1,000";"20,0";"0,00";"0,00";"0,00";"25,17";"0,00";"36,83";"-11,66";"-31,6";"0,00";"-11,66";"-7,60";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-14481,11";"MERCEARIA NAO ALIMENTOS \ BAZAR \ DESCARTAVEIS \ SACOS PARA LIXO";"0,000";"374,000";"0,000";"42,000";"332,000";"790,5";"-0,12";"0,00";"0,00";"1.237,82";"0,00";"347,26";"890,56";"256,5";"-0,06";"891,46";"847,06";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-14374,64";"MERCEARIA NAO ALIMENTOS \ BAZAR \ DESCARTAVEIS \ TALHERES DESCARTAVEIS";"0,000";"48,000";"0,000";"3,000";"45,000";"1.500,0";"-0,02";"0,00";"0,00";"115,74";"0,00";"9,27";"106,47";"1.148,8";"-0,01";"106,47";"98,34";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-14496,21";"MERCEARIA NAO ALIMENTOS \ BAZAR \ DESCARTAVEIS \ TOALHAS DE PAPEL";"0,000";"13,000";"0,000";"52,000";"-39,000";"-75,0";"0,01";"0,00";"0,00";"35,48";"0,00";"157,05";"-121,57";"-77,4";"0,01";"-121,57";"-119,34";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-14502,80";"MERCEARIA NAO ALIMENTOS \ BAZAR \ FERRAGENS \ ACESSORIOS DE FERRAGENS";"0,000";"0,000";"0,000";"1,000";"-1,000";"-100,0";"0,00";"0,00";"0,00";"0,00";"0,00";"6,59";"-6,59";"-100,0";"0,00";"-6,59";"-5,98";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-14521,12";"MERCEARIA NAO ALIMENTOS \ BAZAR \ FESTAS \ BALOES";"0,000";"0,000";"0,000";"2,000";"-2,000";"-100,0";"0,00";"0,00";"0,00";"0,00";"0,00";"18,32";"-18,32";"-100,0";"0,00";"-18,32";"-12,96";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-14536,98";"MERCEARIA NAO ALIMENTOS \ BAZAR \ FESTAS \ FOMINHAS-FUNDO";"0,000";"10,000";"0,000";"11,000";"-1,000";"-9,1";"0,00";"0,00";"0,00";"27,27";"0,00";"43,14";"-15,86";"-36,8";"0,00";"-15,86";"-11,28";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-14450,06";"MERCEARIA NAO ALIMENTOS \ BAZAR \ FESTAS \ VELAS PARA FESTA";"0,000";"54,000";"0,000";"43,000";"11,000";"25,6";"0,00";"0,00";"0,00";"189,00";"0,00";"102,08";"86,92";"85,2";"-0,01";"86,95";"61,56";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-14522,21";"MERCEARIA NAO ALIMENTOS \ BAZAR \ LAVANDERIA \ ACESSORIOS LAVANDERIA";"0,000";"3,000";"0,000";"14,000";"-11,000";"-78,6";"0,00";"0,00";"0,00";"12,90";"0,00";"85,04";"-72,15";"-84,8";"0,00";"-72,15";"-51,52";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-14536,90";"MERCEARIA NAO ALIMENTOS \ BAZAR \ LIMPEZA CASEIRA \ DESENTUPIDOR";"0,000";"0,000";"0,000";"1,000";"-1,000";"-100,0";"0,00";"0,00";"0,00";"0,00";"0,00";"14,69";"-14,69";"-100,0";"0,00";"-14,69";"-14,68";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
"-14512,57";"MERCEARIA NAO ALIMENTOS \ BAZAR \ LIMPEZA CASEIRA \ ESCOVA";"0,000";"6,000";"0,000";"4,000";"2,000";"50,0";"0,00";"0,00";"0,00";"46,34";"0,00";"22,00";"24,33";"110,6";"0,00";"24,33";"19,45";"0,000000";"0,000000";"0,000";"0,000";"0,000";"0,000"
