"%Acm. Venda";"Nível 4";"Venda Quantidade";"Venda Itens";"Unitário Médio";"Venda Valor";"Venda % Partic.";"Promoções Valor Venda";"Promoc. % Partic.";"% Partic. Prom./Vda.";"Lucratividade Unit.";"Lucratividade Valor";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Compror";"Comissão";"Impostos Venda";"Valor IBS  Municipal";"Valor IBS  Estadual";"Valor CBS";"Valor IS";"Contribuição Valor";"Contrib. % Partic.";"Contrib. Marg %*";"Peso Bruto";"Peso Brt %Partic.";"Peso Líquido";"Volume M ³";"Valor Venda Por M³";"Despesa Fixa";"Desconto Fixo";"Vlr Descto Fora de NF"
"0,02";"MERCEARIA NAO ALIMENTOS \ BAZAR \ ARMARINHO \ ACESSORIOS ARMARINHO";"6.774,000";"34";"3,82";"25.869,77";"0,02";"1.363,00";"0,00";"5,27";"0,95";"6.403,51";"0,02";"24,75";"57,90";"36,67";"16.383,37";"13.304,56";"0,00";"0,00";"0,00";"6.161,70";"0,00";"5,56";"175,72";"0,00";"6.403,51";"0,02";"32,49";"8,788";"0,00";"2,670";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,02";"MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ BOLSA BRINDE";"51,000";"2";"5,75";"293,00";"0,00";"0,00";"0,00";"0,00";"2,16";"110,19";"0,00";"37,61";"118,93";"54,32";"133,83";"97,11";"0,00";"0,00";"0,00";"85,70";"0,00";"0,00";"1,73";"0,00";"110,19";"0,00";"53,15";"2,257";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,03";"MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ BOLSA TERMICA";"846,000";"5";"10,15";"8.589,07";"0,01";"0,00";"0,00";"0,00";"2,93";"2.478,03";"0,01";"28,85";"86,08";"46,26";"4.615,73";"3.600,22";"0,00";"0,00";"0,00";"2.510,82";"0,00";"8,41";"57,07";"0,00";"2.478,03";"0,01";"40,77";"63,450";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,31";"MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ SACOLA RECICLAVEL";"2.888.318,000";"2";"0,12";"333.822,94";"0,28";"0,00";"0,00";"0,00";"0,01";"33.460,74";"0,11";"10,02";"23,89";"19,28";"269.458,65";"207.665,09";"0,00";"0,00";"0,00";"92.697,11";"0,00";"1,58";"154,64";"0,00";"33.460,74";"0,11";"13,88";"891.300,905";"11,92";"2.310.654,400";"45,231";"7.380,401";"0,00";"0,00";"0,00"
"0,41";"MERCEARIA NAO ALIMENTOS \ BAZAR \ BOLSAS E SACOLAS \ SACOLA RETORNAVEL";"17.982,000";"2";"6,99";"125.672,94";"0,10";"0,00";"0,00";"0,00";"2,47";"44.384,73";"0,15";"35,32";"114,24";"53,32";"58.660,33";"44.537,41";"0,00";"0,00";"0,00";"36.750,80";"0,00";"0,10";"717,31";"0,00";"44.384,73";"0,15";"49,91";"1.168,180";"0,02";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,41";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CALCADOS \ ACESSORIOS PARA CALCADOS";"111,000";"1";"5,59";"620,49";"0,00";"0,00";"0,00";"0,00";"1,44";"159,85";"0,00";"25,76";"57,24";"36,40";"394,62";"279,34";"0,00";"0,00";"0,00";"181,30";"0,00";"0,00";"4,44";"0,00";"159,85";"0,00";"36,40";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,42";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CALCADOS \ GRAXAS";"386,000";"4";"18,52";"7.147,84";"0,01";"0,00";"0,00";"0,00";"3,64";"1.404,53";"0,00";"19,65";"56,19";"35,98";"4.576,28";"3.654,28";"0,00";"0,00";"0,00";"2.089,03";"0,00";"3,86";"44,45";"0,00";"1.404,53";"0,00";"27,76";"26,852";"0,00";"13,896";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,51";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CALCADOS \ SANDALIAS";"7.625,000";"28";"14,05";"107.093,44";"0,09";"1.688,44";"0,00";"1,58";"3,73";"28.453,39";"0,09";"26,57";"72,77";"42,12";"61.985,82";"47.327,81";"0,00";"0,00";"0,00";"31.312,24";"0,00";"82,15";"661,37";"0,00";"28.453,39";"0,09";"37,55";"2.375,331";"0,03";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,52";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ ACESSORIOS CHURRASCO";"895,000";"5";"10,64";"9.525,28";"0,01";"0,00";"0,00";"0,00";"3,72";"3.327,65";"0,01";"34,93";"107,81";"51,88";"4.583,60";"3.849,13";"0,00";"0,00";"0,00";"2.348,49";"0,00";"5,51";"63,24";"0,00";"3.327,65";"0,01";"46,37";"207,067";"0,00";"192,180";"0,000";"0,000";"0,00";"0,00";"0,00"
"0,62";"MERCEARIA NAO ALIMENTOS \ BAZAR \ CHURRASCO \ CARVAO";"5.663,000";"2";"21,75";"123.176,80";"0,10";"7.718,40";"0,01";"6,27";"6,22";"35.205,29";"0,12";"28,58";"84,89";"45,91";"66.623,13";"51.966,00";"0,00";"0,00";"0,00";"36.005,51";"0,00";"64,77";"793,89";"0,00";"35.205,29";"0,12";"40,39";"18.922,768";"0,25";"3.805,000";"13,698";"8.992,320";"0,00";"0,00";"0,00"
