codigo;nome;cluster_gabarito;qualidade;receita_venda_devolucao;venda_liquida;av_venda_liquida;resultado_liquido;av_resultado_liquido;margem_reducao_custo;margem_contribuicao;av_margem_contribuicao;custo_pessoal;mkt_ecommerce;manutencao;utilites;desp_administrativa;material_consumo;desp_logistica;desp_financeira;outras_receitas;total_despesas;av_total_despesas;total_despesas_origem;resultado_final;av_resultado_final;checagem_mc_menos_desp;fonte;observacao
01;Americas;A;ok;20735215.0;18500289.0;0.892216;5485852.71;0.264567;5630218.33;5047112.03;0.243408;-1870909.0;-5108.33;-140162.0;-467682.0;-72739.0;-241727.29;-107161.61;-2296584.0;-272870.6;-7567354.0;-0.364952;lido;-2520242.0;-0.121544;0.03;WhatsApp Image 2026-09-24 at 13.36.51.jpeg;
05;Gardenia;B;ok;13505573.0;12016712.0;0.88976;3452911.59;0.255666;3459997.0;3127703.11;0.231586;-1371497.0;-17466.55;-66415.43;-259113.78;-60879.3;-135405.73;-51365.0;-14239.48;-42616.71;-2303068.0;-0.170527;lido;824596.43;0.061056;38.68;WhatsApp Image 2026-09-24 at 13.36.51.jpeg;Linhas tapadas pelo tooltip lidas na tela: logistica -51.365, financeira -14.239,48, outras -42.616,71, total -2.303.068. Identidade MC+desp vs resultado difere R$ 38,68.
07;Abelardo;A;ok;19977019.0;17672822.0;0.884658;5183436.71;0.25947;5207491.26;4752484.9;0.237898;-1790184.0;-5151.32;-149090.06;-305161.48;-91826.83;-129703.54;-44355.61;-111319.62;;-3504996.05;-0.175451;lido;1247488.55;0.062446;0.3;WhatsApp Image 2026-09-24 at 13.36.51.jpeg;Tooltip confirma total despesas -3504996.05.
08;Magarca;B;ok;14133851.0;12626907.0;0.893381;3501086.34;0.247709;3508432.71;3248342.85;0.229827;-1176204.0;-18418.32;-131338.8;-196916.11;-70287.19;-133873.34;-74052.33;-23595.4;-58499.11;-2107572.0;-0.149115;lido;1140770.43;0.080712;0.42;WhatsApp Image 2026-09-24 at 13.36.51.jpeg;
09;Riachuelo;B;ok;14427197.0;12918412.0;0.895421;3473807.16;0.240782;3479246.67;3220318.09;0.223212;-1373351.0;-3527.32;-134854.14;-281973.99;-96170.26;-105651.61;-87666.22;-61537.05;-24913.82;-2491382.0;-0.172686;lido;728936.01;0.050525;0.08;WhatsApp Image 2026-09-24 at 13.36.51.jpeg;
10;Barra;A;ok;28861786.0;25540679.0;0.884931;7866036.41;0.272542;7914589.02;6902571.0;0.23916;-2308679.0;-15259.29;-202801.99;-472175.56;-102308.86;-292756.79;-139316.66;-59981.87;155320.53;-5421533.0;-0.187845;lido;1481037.29;0.051315;0.71;WhatsApp Image 2026-09-24 at 13.36.51.jpeg;Outras receitas veio positivo no DRE.
11;Via Parque;A;ok;14303715.0;12417495.0;0.868131;3797387.25;0.265483;3822359.94;3450529.3;0.241233;-1663559.0;-82459.11;-143360.83;-56848.84;-69066.0;-208876.72;-176840.8;-119492.17;-43993.73;-4418119.65;-0.308879;derivado;-967590.35;-0.067646;-0.0;WhatsApp Image 2026-09-24 at 13.38.25.jpeg;Total despesas derivado.
12;C. Grande;B;ok;13808320.0;12331267.0;0.893032;3393731.91;0.245774;3401200.01;3027394.74;0.219244;-1342697.0;-18693.32;-157188.52;-227978.19;-94866.14;-120600.0;-82647.25;-91010.41;-102678.17;-2330449.0;-0.168771;lido;696945.73;0.050473;0.01;WhatsApp Image 2026-09-24 at 13.38.25.jpeg;
13;Tanque;A;ok;19470176.0;17628039.0;0.905387;5175705.4;0.265827;5192877.94;4655840.56;0.239127;-1923214.0;-2864.32;-266791.72;-324317.62;-71254.17;-217239.98;-98464.69;-37402.03;-213899.05;-3338390.23;-0.171462;derivado;1317450.33;0.067665;-0.0;WhatsApp Image 2026-09-24 at 13.38.25.jpeg;Total despesas derivado.
14;Cascadura;B;ok;12936528.0;11480327.0;0.887435;3204403.74;0.247702;3218944.64;2887579.76;0.223211;-1620007.0;-20842.55;-157573.58;-300741.08;-45678.05;-126366.96;-79471.67;-31980.4;-80805.29;-2885109.77;-0.22302;derivado;2469.99;0.000191;-0.0;WhatsApp Image 2026-09-24 at 13.38.25.jpeg;Resultado quase zero. Total despesas derivado.
15;Pedra;B;ok;23124504.0;20688697.0;0.894666;5811831.37;0.251328;5830526.48;5246603.65;0.226885;-1840437.0;-4662.32;-175685.53;-283354.4;-74793.33;-194477.61;-81224.61;-27925.51;-143731.94;-3053713.0;-0.132055;lido;2192889.94;0.09483;0.71;WhatsApp Image 2026-09-24 at 13.38.25.jpeg;
16;Terreirao;B;ok;12367771.0;11031611.0;0.891964;3076731.93;0.24877;3081542.1;2831589.06;0.228949;-1347110.0;-18426.32;-122510.71;-150134.67;-121423.04;-70473.77;-7027.68;-43376.64;;-2101793.35;-0.169941;derivado;729795.71;0.059008;0.0;WhatsApp Image 2026-09-24 at 13.38.25.jpeg;Total despesas derivado.
17;P. Lucas;B;ok;9007034.37;8738817.47;0.970221;2430041.72;0.269794;2435609.51;2179984.5;0.242031;-1478799.0;-20726.55;-185040.66;-327268.66;-46457.17;-112416.54;-65630.94;-34000.45;-51426.84;-2595871.44;-0.288205;derivado;-415886.94;-0.046174;0.0;WhatsApp Image 2026-09-24 at 13.38.25.jpeg;Total despesas derivado.
